2024-03-14 14:25:35,779 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Configure stats pid to 2548
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Loading settings from /home/braveniuniu/.config/wandb/settings
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Loading settings from /mnt/d/codespace/mae/wandb/settings
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/mnt/d/codespace/mae/train.py', 'program': '/mnt/d/codespace/mae/train.py'}
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_init.py:_log_setup():526] Logging user logs to /mnt/d/codespace/mae/wandb/run-20240314_142535-3islr7kn/logs/debug.log
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_init.py:_log_setup():527] Logging internal logs to /mnt/d/codespace/mae/wandb/run-20240314_142535-3islr7kn/logs/debug-internal.log
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_init.py:init():566] calling init triggers
2024-03-14 14:25:35,780 INFO    MainThread:2548 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-14 14:25:35,781 INFO    MainThread:2548 [wandb_init.py:init():616] starting backend
2024-03-14 14:25:35,781 INFO    MainThread:2548 [wandb_init.py:init():620] setting up manager
2024-03-14 14:25:35,782 INFO    MainThread:2548 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-14 14:25:35,783 INFO    MainThread:2548 [wandb_init.py:init():628] backend started and connected
2024-03-14 14:25:35,787 INFO    MainThread:2548 [wandb_init.py:init():720] updated telemetry
2024-03-14 14:25:35,887 INFO    MainThread:2548 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-14 14:25:37,015 INFO    MainThread:2548 [wandb_run.py:_on_init():2262] communicating current version
2024-03-14 14:25:42,018 INFO    MainThread:2548 [wandb_run.py:_on_init():2271] got version response 
2024-03-14 14:25:42,020 INFO    MainThread:2548 [wandb_init.py:init():804] starting run threads in backend
2024-03-14 14:25:42,292 INFO    MainThread:2548 [wandb_run.py:_console_start():2241] atexit reg
2024-03-14 14:25:42,292 INFO    MainThread:2548 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-14 14:25:42,292 INFO    MainThread:2548 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-14 14:25:42,293 INFO    MainThread:2548 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-14 14:25:42,293 INFO    MainThread:2548 [wandb_init.py:init():847] run started, returning control to user process
2024-03-14 14:25:55,297 WARNING MsgRouterThr:2548 [router.py:message_loop():77] message_loop has been closed
